parameter,value
JOB_ID,8299617
exp_id,18
current_country,Italy
sim_weeks,24
m,0.4
gamma,0.142857142857143
alpha,0.15625
phi,0.476190476190476
eta,1
vacc_eff,0.95
beta,0.657142857142857
prop_vacc,0.8
b_p,0.5
active_infected,100
k_min,0.1
k_max,0.5
comment,R_0 estimate from Ke et al 2021 J Theor Biol. 2023
