time,state,age_group,cases,yinit,col,k,k_percent,SD,vto,from,to
1,S,0-9,1719371,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
2,S,0-9,1719326.90766736,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
3,S,0-9,1719292.902732679,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
4,S,0-9,1719252.4163873906,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
5,S,0-9,1719194.4692218287,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
6,S,0-9,1719108.4146755585,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
7,S,0-9,1718980.4467872304,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
8,S,0-9,1718790.6269409726,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
9,S,0-9,1718509.4556191678,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
10,S,0-9,1718093.1714458696,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
11,S,0-9,1717476.9222257305,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
12,S,0-9,1716564.7145101952,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
13,S,0-9,1715214.625647971,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
14,S,0-9,1713217.1274286725,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
15,S,0-9,1710263.5012012986,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
16,S,0-9,1705900.219187183,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
17,S,0-9,1699463.943067968,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
18,S,0-9,1689990.7911807748,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
19,S,0-9,1676093.847192139,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
20,S,0-9,1655806.7594554247,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
21,S,0-9,1626403.5268429779,1719371,yellow,0,0,0,elderly_adults,juveniles_adults_elderly,juveniles_adults_elderly
